plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period,beneficial_companions,harmful_companions,neutral_companions
Basil- Lemon,Ocimum americanum,herb,Annual 40cm; Culinary herb; Strong lemon flavour,90-110 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Strong lemon flavour; Fast growing; Best flavour of the common thyme varieties,"**Lemon Basil** (*Ocimum americanum*) is a delightful annual herb that grows to about *40cm* tall. Its **narrow green leaves** boast a **strong, zesty lemon fragrance and flavor**, making it a popular addition to a wide array of dishes. From adding a bright note to curries, salads, and rice dishes to infusing teas and desserts with a citrusy twist, this herb is incredibly versatile. It also finds a place in potpourri and is known by the charming names ""Hoary Basil"" and ""Thai Lemon Basil.""",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Lemon_Ocimum americanum/Basil- Lemon_Ocimum americanum_1.jpg; Basil- Lemon_Ocimum americanum/Basil- Lemon_Ocimum americanum_2.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomato, Pepper, Asparagus, Marigold, Petunia","Fennel, Common Rue, Sage","Lettuce, Spinach, Carrots, Cucumber, Beans"
Basil- Medinette,Ocimum basilicum,herb,Annual 30cm; Suited for pots; Suited to warm climates,65 days,20cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing,"**Medinette Basil** (*Ocimum basilicum*) is a charmingly compact annual herb, reaching a modest height of *30cm*. Its **small size makes it an ideal candidate for container gardening** or tucking into smaller garden spaces. Featuring medium-sized leaves, it offers a delightful balance between bush basil and larger varieties. This **slow-to-bolt variety** is particularly well-suited for warmer climates or for cultivation in a greenhouse, ensuring a steady supply of its aromatic leaves.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Medinette_Ocimum basilicum/Basil- Medinette_Ocimum basilicum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomato, Pepper, Asparagus, Oregano, Marigold","Fennel, Common Rue, Sage","Lettuce, Carrots, Cucumber, Beans, Peas"
Basil- Mrs Burns Lemon,Ocimum basilicum,herb,Annual 50cm; Culinary herb; Attractive lemon scented leaves,60 days,40cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing; Best flavour of the common thyme varieties,"**Mrs. Burns Lemon Basil** (*Ocimum basilicum*) is a delightful heirloom annual that grows to *50cm* tall, boasting fragrant green leaves and charming pink flowers. Its leaves offer a **vibrant lemon and lime flavor**, making it a **perfect addition to salads, rice dishes, soups, stews, teas, and desserts**. This versatile herb is **more heat tolerant** than common basils and exhibits **good disease resistance**, ensuring a bountiful harvest. It thrives in containers and can even be used in potpourri, offering a **wonderful citrusy aroma**. You might also know it as ""Lime Basil.""",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Mrs Burns Lemon_Ocimum basilicum/Basil- Mrs Burns Lemon_Ocimum basilicum_1.jpg; Basil- Mrs Burns Lemon_Ocimum basilicum/Basil- Mrs Burns Lemon_Ocimum basilicum_2.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomato, Pepper, Asparagus, Marigold, Chamomile","Fennel, Common Rue, Sage","Lettuce, Spinach, Carrots, Cucumber, Beans"
Basil- Sweet,Ocimum basilicum,herb,Annual 50cm; Culinary herb; Sweet and mild in flavour,60-80 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual, Sweet and mild in flavour,"**Sweet Basil** (*Ocimum basilicum*) is an aromatic annual that reaches *50cm* in height, featuring **large, medium-green, shiny leaves** with a **sweet and mild flavor**, distinguishing it from other common varieties. This basil is known for being **slow to bolt**, meaning it stays productive for longer. It's an excellent choice for **container growing** and can be enjoyed **fresh or dried**, adding a gentle sweetness to your culinary creations.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_1.jpg; Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_2.jpg; Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_3.jpg; Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_4.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomato, Pepper, Asparagus, Oregano, Marigold","Fennel, Common Rue, Sage","Lettuce, Carrots, Cucumber, Beans, Spinach"
Basil- Thai,Ocimum basilicum,herb,Annual 50cm; Culinary herb; Licorice flavour,50 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Licorice flavour; Best flavour of the common thyme varieties,"**Thai Basil** (*Ocimum basilicum*) is an aromatic annual that grows to *50cm* and is celebrated for its **unique licorice flavor**. This culinary herb is a star in **Asian dishes**, acting as a flavorful condiment and a fresh addition to salads. A significant advantage of Thai Basil is its ability to **retain its flavor exceptionally well when cooked**, outperforming many other standard varieties. It also thrives beautifully in containers, bringing an exotic touch to your garden and kitchen.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Basil- Thai_Ocimum basilicum/Basil- Thai_Ocimum basilicum_1.jpg; Basil- Thai_Ocimum basilicum/Basil- Thai_Ocimum basilicum_2.jpg; Basil- Thai_Ocimum basilicum/Basil- Thai_Ocimum basilicum_3.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomato, Pepper, Asparagus, Marigold, Petunia","Fennel, Common Rue, Sage","Lettuce, Carrots, Cucumber, Beans, Radish"
Basil- Thai Siam Queen,Ocimum americanum,herb,Annual 80cm; Culinary herb; Larger leaves that regular Thai Basil,70 days,40cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Best flavour of the common thyme varieties,"**Thai Siam Queen Basil** (*Ocimum americanum*) is a **large and bushy annual** that can reach up to *80cm* in height. This culinary herb boasts **fragrant green leaves** and striking purple stems, topped with small red/purple flowers. Its leaves offer a **unique flavor, a delightful blend of aniseed and basil**, making it a star in Asian cuisine, perfect for salads, noodle dishes, and rice creations. ***This variety is larger and produces bigger leaves than regular Thai Basil***, adding to its appeal. It thrives in containers and can even be used in potpourri, making it a **very attractive ornamental plant** as well.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Thai Siam Queen_Ocimum americanum/Basil- Thai Siam Queen_Ocimum americanum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December","Tomato, Pepper, Asparagus, Oregano, Marigold","Fennel, Common Rue, Sage","Lettuce, Carrots, Cucumber, Beans, Peas"
Bergamot- Wild,Monarda fistulosa,herb,"Perennial to 100cm; Culinary herb; Also known as ""Bee Balm""",365 days,45cm,1mm,"Part or full sun, moist well drained soil",Spring and summer,7-14 days @ 16-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Fast growing,"**Wild Bergamot** (*Monarda fistulosa*), also known as **Bee Balm**, is a **hardy perennial** that grows to *100cm*. It forms an **upright, clump-forming habit** with toothed green leaves and charming pinky-lavender blooms. Native to North America, this herb has a rich history of **medicinal use** and is a **versatile culinary herb** for savory dishes. ***Its most enchanting quality is its ability to attract beneficial insects and bees***, bringing life and vibrancy to your garden. It's also recognized as ""Purple Beebalm"" or ""Wild Bee Balm,"" adding to its ornamental appeal.",Purple/Violet Flowers; Attracts beneficial insects; Culinary use; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Bergamot- Wild_Monarda fistulosa/Bergamot- Wild_Monarda fistulosa_1.jpg; Bergamot- Wild_Monarda fistulosa/Bergamot- Wild_Monarda fistulosa_2.jpg,"January, February, March, October, November, December","January, February, March, April, September, October, November, December","April, May, June, July, August, September","April, May, June, July, August, September","April, May, June, July, August, September","Tomato, Pepper, Squash, Beans, Fruit Trees","Cucumber, Zucchini, Pumpkin (can spread powdery mildew)","Corn, Potato, Onion, Garlic, established shrubs"
Blue Butterfly Pea,Clitoria ternatea,herb,Perennial to 200cm; Edible Blue and white flowers,90 days,50cm,20mm,"Full to part sun, moist soil",Spring to summer,7-14 days @ 20-30°C,Blue Butterfly Pea seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Frost tender Perennial (grown as an annual in cool climates),,"**Blue Butterfly Pea** (*Clitoria ternatea*) is a **perennial tropical climbing vine** that can reach up to *200cm*, though it's often grown as an annual in cooler climates. This popular Asian pea is cherished for its **vibrant blue and white flowers**, which have a long history of medicinal uses. ***The flowers are incredibly versatile, usable fresh, dried, or powdered***, and are famously brewed into a beautiful blue tea. They also serve as a **natural food coloring**, transforming dishes like blue rice, desserts, and cocktails, with a magical color change to pink when lemon juice is added. The leaves are a favored food for livestock, and this plant is also a **beneficial nitrogen-fixing cover crop**.",Attracts beneficial insects; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_1.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_2.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_3.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_4.jpg,"September, October, November",,,,,"Corn, Squash, Cucumber, Lettuce, Spinach (as a nitrogen fixer)","Fennel, Walnut","Carrots, Beets, Peppers, Radish, Tomato"
Borage,Borago officinalis,herb,Annual 90cm; Attracts bees,80-90 days,30cm,10mm,"Part or full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 20-22°C,Sow direct or raise seedlings,Hardy Annual,,"**Borage** (*Borago officinalis*) is a delightful annual herb that grows into a bushy plant reaching up to *90cm* tall. Its ovate leaves are covered in fine hairs, and it produces stunning, **bright blue, star-shaped flowers**. This plant is a magnet for **bees**, making it a valuable addition to any garden looking to support pollinators. Beyond its ornamental charm and ability to attract beneficial insects, borage also holds **medicinal uses**, adding to its garden appeal.",Blue Flowers; Attracts beneficial insects; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Borage_Borago officinalis/Borage_Borago officinalis_1.jpg; Borage_Borago officinalis/Borage_Borago officinalis_2.jpg; Borage_Borago officinalis/Borage_Borago officinalis_3.jpg; Borage_Borago officinalis/Borage_Borago officinalis_4.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","April, May, June, July, August, September","January, August, September, October, November, December","Strawberry, Tomato, Squash, Cabbage, Cucumber","Fennel, Walnut","Beans, Peas, Corn, Potatoes, most leafy greens"
Burdock- Takinogawa Long,Arctium lappa,herb,Root vegetable/medicinal herb; Long roots to 100cm; Fast growing,120 days,15cm,15mm,"Part or full sun, deep well drained soil","Spring, summer autumn",7-14 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial,Fast growing,"**Burdock- Takinogawa Long** (*Arctium lappa*), also known as ""Gobo,"" is a remarkable root vegetable and medicinal herb that grows impressively long roots, reaching up to *100cm* in length and *2cm* in width. These **fast-growing** roots offer a **mild bittersweet flavor** and a **strong aroma**, making them a popular ingredient in Asian cuisine. Young roots can be enjoyed raw in salads after peeling, while older roots are best cooked as a hearty root vegetable. This versatile plant boasts significant **culinary and medicinal uses**.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_1.jpg; Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_2.jpg; Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_3.jpg; Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_4.jpg,"January, February, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, August, September, October, November, December","April, May, June","January, February, March, April, May, August, September, October, November, December","Beans, Peas, Root Vegetables (loosens soil for them)","Most shallow-rooted annuals (due to competition), Sun-loving herbs (shades them out)","Corn, Sunflowers, established perennials, Rhubarb"
Caraway,Carum carvi,herb,Biennial 60cm; Culinary herb; Sweet anise-like flavour,"120 days for flowers, 400 days for seed.",25cm,10mm,"Part or full sun, moist soil",Spring and autumn,7-14 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial,Sweet anise-like flavour,"**Caraway** (*Carum carvi*) is a biennial herb that grows to *60cm* tall, gracing the garden with slender green stems and delicate, feathery green leaves. It produces small white flowers that develop into small, ribbed fruits, often mistaken for seeds. These fruits possess a **sweet anise-like flavor** and are a wonderful addition to bread, cheese, cakes, curries, and casseroles. The roots can be prepared like parsnips, and young leaves are perfect for salads, while older leaves can be cooked like spinach. Caraway is also recognized for its **medicinal uses** and is frequently used as a natural **breath freshener**, making it a truly multi-talented plant for your garden beds.",Beds; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Caraway_Carum carvi/Caraway_Carum carvi_1.jpg; Caraway_Carum carvi/Caraway_Carum carvi_2.jpg; Caraway_Carum carvi/Caraway_Carum carvi_3.jpg; Caraway_Carum carvi/Caraway_Carum carvi_4.jpg,"September, October, November",,,,,"Peas, Strawberries, Broccoli, Lettuce, Cabbage","Fennel, Dill, Carrots","Tomatoes, Onions, Beans, Peppers"
