plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period,beneficial_companions,harmful_companions,neutral_companions
Bush Bean- Royal Burgundy,Phaseolus vulgaris,vegetable,Dwarf (Bush); Purple pods to 15cm; Good variety for cool climates,60 days,10cm,20mm,"Full sun, well drained soil",Spring(or after frost) and early summer,7-10 days @ 20-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Fast growing; Mild sweet flavour,"Discover the charm of **Bush Bean - Royal Burgundy** (*Phaseolus vulgaris*), a **high-yielding** dwarf variety perfect for your vegetable patch. This **fast-growing** bush bean produces beautiful, **round purple pods** that grow up to *15cm* long. A unique characteristic is that these vibrant pods will **turn green when cooked**, adding a touch of magic to your meals. This variety is particularly **well-suited for cooler climates**, ensuring a successful harvest.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Bush Bean- Royal Burgundy_Phaseolus vulgaris/Bush Bean- Royal Burgundy_Phaseolus vulgaris_1.jpg; Bush Bean- Royal Burgundy_Phaseolus vulgaris/Bush Bean- Royal Burgundy_Phaseolus vulgaris_2.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December","Carrot, Cucumber, Corn, Potato, Rosemary, Marigold, Summer Savory, Strawberry","Onion, Garlic, Leek, Chives, Fennel, Sunflower","Lettuce, Spinach, Tomato, Zucchini"
Bush Bean- Strike,Phaseolus vulgaris,vegetable,Dwarf (Bush); Very high yielding; Stringless,55-65 days,10cm,20mm,"Full sun, well drained soil",Spring(or after frost) and early summer,7-10 days @ 20-26°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost tender Annual,Very high yielding,"**Bush Bean - Strike** (*Phaseolus vulgaris*) is a **very high yielding** dwarf bean variety that promises a bountiful harvest for your garden. These **stringless** beans produce round, green pods up to *14cm* long, boasting an **excellent sweet flavor** that makes them a culinary delight. Perfect for home gardeners seeking a productive and delicious vegetable, the Strike bean is ideal for fresh eating and various culinary uses.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Bush Bean- Strike_Phaseolus vulgaris/Bush Bean- Strike_Phaseolus vulgaris_1.jpg; Bush Bean- Strike_Phaseolus vulgaris/Bush Bean- Strike_Phaseolus vulgaris_2.jpg; Bush Bean- Strike_Phaseolus vulgaris/Bush Bean- Strike_Phaseolus vulgaris_3.jpg; Bush Bean- Strike_Phaseolus vulgaris/Bush Bean- Strike_Phaseolus vulgaris_4.jpg,"January, October, November, December","January, February, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","January, February, September, October, November, December","Carrot, Cucumber, Corn, Potato, Rosemary, Marigold, Summer Savory, Strawberry","Onion, Garlic, Leek, Chives, Fennel, Sunflower","Lettuce, Spinach, Tomato, Zucchini"
"Cabbage, Chinese- Pak Choi - Cantong",Brassica chinensis,vegetable,Leaf vegetable; Thick white stems; Can be eaten raw or cooked,40-50 days,25cm,6mm,"Part or full sun, well drained soil","Spring, autumn (and summer in cool and moderate climates)",7-14 days @ 7-23°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),,"**Chinese Cabbage - Pak Choi - Cantong** (*Brassica chinensis*) offers a **fast-maturing** leafy green with a **mild, excellent flavor** that shines both raw and cooked. This non-heading variety features rounded dark green leaves and **thick white stems**, making it a versatile addition to your kitchen. It's particularly wonderful in **stir-fries and steamed dishes**, and its adaptability makes it a **good variety for hot weather and warmer climates**.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Chinese- Pak Choi - Cantong_Brassica chinensis/Cabbage Chinese- Pak Choi - Cantong_Brassica chinensis_1.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","March, April, May, August, September, October, November, December","Dill, Thyme, Sage, Marigold, Nasturtium, Onion, Bush Bean, Lettuce, Spinach","Broccoli, Cabbage, Cauliflower, Kale, Strawberry, Tomato","Carrot, Beet, Radish, Pea"
"Cabbage, Savoy- Green Vertus",Brassica oleracea,vegetable,Leaf vegetable; Large heads to 2.5kg; Grey/green crinkled leaves,140 days,50cm,5mm,"Part or full sun, well drained soil","Early spring, late summer and autumn",3-7 days @ 8-30°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),"Also known as ""Sweet Pepper""; Sweet and crisp","**Savoy Cabbage - Green Vertus** (*Brassica oleracea*) is a magnificent leaf vegetable that forms **large, round heads** weighing up to *2.5kg* (about *20cm* in diameter). Its distinctive **grey-green crinkled leaves** have a **mild flavor**, making them a versatile ingredient that is **great both raw and cooked**. Add this impressive cabbage to your garden for a beautiful and delicious harvest.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Savoy- Green Vertus_Brassica oleracea/Cabbage Savoy- Green Vertus_Brassica oleracea_1.jpg; Cabbage Savoy- Green Vertus_Brassica oleracea/Cabbage Savoy- Green Vertus_Brassica oleracea_2.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May","Dill, Thyme, Rosemary, Onion, Celery, Bush Bean, Beet, Nasturtium, Chamomile","Broccoli, Cauliflower, Kale, Strawberry, Tomato, Pole Bean","Lettuce, Spinach, Potato, Corn"
"Cabbage, Savoy- Verona Purple",Brassica oleracea,vegetable,Leaf vegetable; Large purple/green heads to 4kg; Excellent flavour,100-130 days,60cm,5mm,"Part or full sun, well drained soil",Late summer and autumn,3-7 days @ 8-30°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Excellent flavour,"**Savoy-Verona Purple Cabbage** (*Brassica oleracea*) is a stunning and flavorful addition to any garden, producing ***large, deeply colored heads*** that can reach up to *4kg*. Its lightly savoyed leaves boast a beautiful purple-green hue, which becomes even more vibrant in cool weather. Beyond its striking appearance, this popular variety offers an **excellent flavor** and **stores well**, making it a practical choice for gardeners. Enjoy its delicious taste both cooked and raw, adding a touch of elegance and robust flavor to your culinary creations.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage Savoy- Verona Purple_Brassica oleracea/Cabbage Savoy- Verona Purple_Brassica oleracea_1.jpg; Cabbage Savoy- Verona Purple_Brassica oleracea/Cabbage Savoy- Verona Purple_Brassica oleracea_2.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May","Dill, Thyme, Rosemary, Onion, Celery, Bush Bean, Beet, Nasturtium, Chamomile","Broccoli, Cauliflower, Kale, Strawberry, Tomato, Pole Bean","Lettuce, Spinach, Potato, Corn"
Cabbage- Copenhagen Market,,vegetable,Leaf vegetable; Heirloom Dutch Variety,60-100 days,30cm,5mm,"Part or full sun, well drained soil",Spring or late summer,4-10 days @ 18-24°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),,"Discover the charm of **Copenhagen Market Cabbage**, an **heirloom Dutch variety** that brings a taste of tradition to your vegetable patch. This delightful cabbage produces **small, tightly-leaved heads** approximately *15cm* in diameter, making it perfect for smaller gardens or for those who appreciate early harvests. As an **early cropping variety**, it offers good uniformity and a **great cabbage flavor** that shines whether **cooked or enjoyed raw in salads**. Savor the classic taste of this dependable heirloom.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage- Copenhagen Market_unknown/Cabbage- Copenhagen Market_unknown_1.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May","Dill, Thyme, Rosemary, Onion, Celery, Bush Bean, Beet, Nasturtium, Chamomile","Broccoli, Cauliflower, Kale, Strawberry, Tomato, Pole Bean","Lettuce, Spinach, Potato, Corn"
Cabbage- Golden Acre,,vegetable,Leaf vegetable; Small heads growing up to 1.6kg; Early maturing,60-80 days,35cm,5mm,"Part or full sun, well drained soil",Spring and autumn,4-10 days @ 18-24°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),,"Brighten your garden with **Golden Acre Cabbage**, a **fast-growing, early maturing variety** that delivers **small heads** of up to *1.6kg*. This cabbage is celebrated for its **sweet flavor**, making it a versatile ingredient for your kitchen. Enjoy its delicious taste **cooked or raw in salads**, and appreciate its **slow bolting** characteristic, which ensures a more reliable harvest. Golden Acre is a fantastic choice for gardeners seeking a quick and rewarding crop with excellent flavor.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage- Golden Acre_unknown/Cabbage- Golden Acre_unknown_1.jpg; Cabbage- Golden Acre_unknown/Cabbage- Golden Acre_unknown_2.jpg; Cabbage- Golden Acre_unknown/Cabbage- Golden Acre_unknown_3.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May","Dill, Thyme, Rosemary, Onion, Celery, Bush Bean, Beet, Nasturtium, Chamomile","Broccoli, Cauliflower, Kale, Strawberry, Tomato, Pole Bean","Lettuce, Spinach, Potato, Corn"
Cabbage- Red Acre,Brassica oleracea,vegetable,Leaf vegetable; Small heads growing up to 1.6kg; Compact purple/red heads,60-120 days,40cm,5mm,"Part or full sun, well drained soil","Spring, late summer and autumn",7-14 days @ 18-24°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Compact purple/red heads,"**Red Acre Cabbage** (*Brassica oleracea*) is a delightful biennial, typically cultivated as an annual, that reaches about *50cm* in height. This **early maturing** variety is a champion for home gardeners, producing **compact, round heads** that are a stunning *deep red to purple*. Each head can grow up to *15cm* in diameter and weigh as much as *1.6kg*. The leaves are wonderfully **tender** with a **sweet flavor**, making them a versatile addition to your kitchen. Enjoy them **raw in salads** or **cooked** to perfection. You'll appreciate its **fast growth**, **slow bolting**, and **resistance to splitting**, ensuring a bountiful and reliable harvest with a **long shelf-life**.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Cabbage- Red Acre_Brassica oleracea/Cabbage- Red Acre_Brassica oleracea_1.jpg; Cabbage- Red Acre_Brassica oleracea/Cabbage- Red Acre_Brassica oleracea_2.jpg,"February, March, April, August, September","February, March, April, August, September","March, April, May, July, August, September","April, May, June","March, April, May","Dill, Thyme, Rosemary, Onion, Celery, Bush Bean, Beet, Nasturtium, Chamomile","Broccoli, Cauliflower, Kale, Strawberry, Tomato, Pole Bean","Lettuce, Spinach, Potato, Corn"
Capsicum- Californian Wonder,Capsicum annuum,vegetable,"Also known as ""Sweet Pepper""; Fruit to 10cm; Heavy bearing",65-90 days,50cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""","Discover the joy of growing **Californian Wonder Capsicum** (*Capsicum annuum*), also affectionately known as ""Sweet Pepper."" These **heavy-bearing** plants are a gardener's dream, yielding **bell-like fruit** that measure up to *10cm*. You have the flexibility to harvest them when they are a crisp **green** or allow them to ripen to a vibrant **red**. Their **thick, sweet flesh** is perfect for enjoying **raw** in salads or adding a burst of flavor when **cooked**. Even better, these versatile peppers are **well-suited for container growing**, bringing fresh produce right to your patio or balcony.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Californian Wonder_Capsicum annuum/Capsicum- Californian Wonder_Capsicum annuum_1.jpg; Capsicum- Californian Wonder_Capsicum annuum/Capsicum- Californian Wonder_Capsicum annuum_2.jpg; Capsicum- Californian Wonder_Capsicum annuum/Capsicum- Californian Wonder_Capsicum annuum_3.jpg; Capsicum- Californian Wonder_Capsicum annuum/Capsicum- Californian Wonder_Capsicum annuum_4.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December","Basil, Carrot, Onion, Spinach, Marigold, Geranium, Rosemary, Oregano","Fennel, Kohlrabi, Cabbage, Broccoli, Cauliflower","Tomato, Eggplant, Bush Bean, Corn, Cucumber"
Capsicum- Emerald Giant,Capsicum annuum,vegetable,Thick sweet flesh; Good for containers,75 days,50cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Thick sweet flesh; Also known as ""Sweet Pepper""","Meet the **Emerald Giant Capsicum** (*Capsicum annuum*), a superb American bell pepper variety that's a fantastic choice for any garden, including **container growing**. This **fast-growing** and **heavy-yielding** plant produces beautiful **green bell peppers** that mature into a rich, **deep red**. Each fruit can grow to an impressive *10cm by 8cm*, boasting **thick, sweet flesh** that makes it an **all-purpose delight**. Whether you prefer them **raw** in salads or **cooked** through roasting, frying, or grilling, the Emerald Giant offers exceptional flavor and versatility. This variety is also known as 'Green Giant' and is a type of ""Sweet Pepper.""",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Emerald Giant_Capsicum annuum/Capsicum- Emerald Giant_Capsicum annuum_1.jpg; Capsicum- Emerald Giant_Capsicum annuum/Capsicum- Emerald Giant_Capsicum annuum_2.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December","Basil, Carrot, Onion, Spinach, Marigold, Geranium, Rosemary, Oregano","Fennel, Kohlrabi, Cabbage, Broccoli, Cauliflower","Tomato, Eggplant, Bush Bean, Corn, Cucumber"
Capsicum- Golden Californian Wonder,Capsicum annuum,vegetable,"Also known as ""Sweet Pepper""; Fruit to 10cm; Can be grown in containers",100 days,50cm,5mm,"Full sun, moist well drained soil","Spring or after frost in cool climates, anytime in warm climates",7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp","Discover the delightful **Golden Californian Wonder** (**_Capsicum annuum_**), also affectionately known as ""Sweet Pepper."" This versatile vegetable yields bell-like fruits that begin as green gems and mature into a stunning **golden orange hue**. With a **sweet flavor** that's perfect for salads, these peppers can be enjoyed **raw or cooked**, adding a burst of sunshine to any dish. Even better, you can cultivate this vibrant variety right on your patio, as it's **well-suited for container growing**.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Golden Californian Wonder_Capsicum annuum/Capsicum- Golden Californian Wonder_Capsicum annuum_1.jpg; Capsicum- Golden Californian Wonder_Capsicum annuum/Capsicum- Golden Californian Wonder_Capsicum annuum_2.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December","Basil, Marigold, Onion, Garlic, Spinach, Lettuce, Bush Beans, Rosemary, Oregano, Carrots","Fennel, Kohlrabi, Cabbage, Broccoli, Potato, Tomato, Eggplant","Beets, Cucumber, Corn, Radish, Swiss Chard"
Capsicum- Mini Bell Chocolate,Capsicum annuum,vegetable,Vegetable 60cm; Small chocolate coloured fruit; Suitable for containers,90-100 days,40cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp","Brighten your garden and your plate with the **Mini Bell Chocolate** (**_Capsicum annuum_**)! These compact plants reach a manageable *60cm* in height, producing charming, **chocolate-colored fruit**. Each pepper is *round to tapered*, approximately *5cm* long, boasting **crisp flesh** and a delightful **sweet taste**. These bite-sized treasures are **perfect for snacking** and are an excellent choice for **container growing**, making them ideal for small gardens and urban dwellers alike. Remember, all Capsicum are also known as 'Sweet pepper'!",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Mini Bell Chocolate_Capsicum annuum/Capsicum- Mini Bell Chocolate_Capsicum annuum_1.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December","Basil, Marigold, Onion, Garlic, Spinach, Lettuce, Bush Beans, Rosemary, Oregano, Carrots","Fennel, Kohlrabi, Cabbage, Broccoli, Potato, Tomato, Eggplant","Beets, Cucumber, Corn, Radish, Swiss Chard"
Capsicum- Mini Bell Red,Capsicum annuum,vegetable,Vegetable 60cm; Small red fruit perfect for snacking; Suitable for containers,90-100 days,40cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Also known as ""Sweet Pepper""; Sweet and crisp","Add a pop of vibrant color and sweet flavor to your garden with the **Mini Bell Red** (**_Capsicum annuum_**). These compact plants grow to a convenient *60cm* tall, offering a bounty of **small, red fruit** that are **perfect for snacking**. Each pepper features **crisp flesh** and a wonderfully **sweet taste**, with a *round to tapered* shape measuring about *5cm* long. This variety is a fantastic option for **container growing** and small spaces, bringing the joy of homegrown sweetness within easy reach. As a reminder, Capsicum are also known as 'Sweet pepper'!",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Mini Bell Red_Capsicum annuum/Capsicum- Mini Bell Red_Capsicum annuum_1.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December","Basil, Marigold, Onion, Garlic, Spinach, Lettuce, Bush Beans, Rosemary, Oregano, Carrots","Fennel, Kohlrabi, Cabbage, Broccoli, Potato, Tomato, Eggplant","Beets, Cucumber, Corn, Radish, Swiss Chard"
Capsicum- Yolo Wonder,Capsicum annuum,vegetable,Vegetable; Sweet and crisp,90-100 days,50cm,5mm,"Full sun, well drained soil",Spring or after frost (anytime in warm climates),7-21 days @ 22-35°C,Sow direct or raise seedlings,Frost tender Perennial (grown as an annual in cool climates),"Sweet and crisp; Also known as ""Sweet Pepper""","**Capsicum - Yolo Wonder** (*Capsicum annuum*) is a delightful **sweet bell pepper** that brings a crisp, sweet flavor to your garden. This **medium-sized plant** reaches about *60cm* tall and boasts **dense foliage**, a fantastic natural shield that **protects the developing fruits from sunburn**. Enjoy the **sweet and crisp green fruits** as they mature into a vibrant red. With **good disease resistance**, this variety is a reliable choice for home growers, and it's also **excellent for container growing** and a star in the kitchen.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Capsicum- Yolo Wonder_Capsicum annuum/Capsicum- Yolo Wonder_Capsicum annuum_1.jpg; Capsicum- Yolo Wonder_Capsicum annuum/Capsicum- Yolo Wonder_Capsicum annuum_2.jpg; Capsicum- Yolo Wonder_Capsicum annuum/Capsicum- Yolo Wonder_Capsicum annuum_3.jpg,"September, October, November","August, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, September, October, November, December","Basil, Marigold, Onion, Garlic, Spinach, Lettuce, Bush Beans, Rosemary, Oregano, Carrots","Fennel, Kohlrabi, Cabbage, Broccoli, Potato, Tomato, Eggplant","Beets, Cucumber, Corn, Radish, Swiss Chard"
Carrot- All Seasons,Daucus carota,vegetable,Root vegetable; Good disease resistance; Large orange roots growing to 20cm,120-140 days,5cm,5mm,"Full sun, well drained soil","Spring, summer and autumn (and winter with moderate results)",14-21 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Biennial (usually grown as an annual),"Also known as ""Sweet Pepper""","**Carrot - All Seasons** (*Daucus carota*) offers the joy of harvesting **large, vibrant orange roots** that grow up to *20cm* long. What makes this variety truly special is its **versatility**, allowing you to plant it **almost all year round**, making it a dependable staple for your vegetable patch. Celebrated for its **good disease resistance**, this carrot is a popular choice, especially in regions like Queensland and New South Wales, and is wonderfully **versatile for culinary use**.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Carrot- All Seasons_Daucus carota/Carrot- All Seasons_Daucus carota_1.jpg; Carrot- All Seasons_Daucus carota/Carrot- All Seasons_Daucus carota_2.jpg; Carrot- All Seasons_Daucus carota/Carrot- All Seasons_Daucus carota_3.jpg; Carrot- All Seasons_Daucus carota/Carrot- All Seasons_Daucus carota_4.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","February, March, April, May, June, July, August, September","January, February, March, April, May, June, July, August, September, October, November, December","Rosemary, Sage, Chives, Onion, Leek, Lettuce, Radish, Bush Beans, Peas, Tomato","Fennel, Dill, Parsnip, Celery, Coriander","Beets, Peppers, Spinach, Cabbage, Broccoli, Marigold"
Carrot- Baby Amsterdam,Daucus carota,vegetable,Root vegetable; Good variety for baby carrots; Roots grow up to 13cm,70 days,2cm,5mm,"Full sun, well drained soil","Spring, summer and autumn",14-21 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Biennial (usually grown as an annual),"Also known as ""Sweet Pepper""","Discover the charm of **Carrot - Baby Amsterdam** (*Daucus carota*), a **superb variety for growing baby carrots**. These **cylindrical orange roots** grow to a manageable *13cm* and are a delight to eat, offering a **juicy, sweet, and crisp** texture. You can **pick them at any stage**, making them incredibly convenient. With **virtually no core** and being **easy to grow**, this carrot is also **great for freezing**, ensuring you can enjoy their delicious flavor long after harvest. They are a fantastic addition to any kitchen garden.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Carrot- Baby Amsterdam_Daucus carota/Carrot- Baby Amsterdam_Daucus carota_1.jpg; Carrot- Baby Amsterdam_Daucus carota/Carrot- Baby Amsterdam_Daucus carota_2.jpg; Carrot- Baby Amsterdam_Daucus carota/Carrot- Baby Amsterdam_Daucus carota_3.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","February, March, April, May, June, July, August, September","January, February, March, April, May, June, July, August, September, October, November, December","Rosemary, Sage, Chives, Onion, Leek, Lettuce, Radish, Bush Beans, Peas, Tomato","Fennel, Dill, Parsnip, Celery, Coriander","Beets, Peppers, Spinach, Cabbage, Broccoli, Marigold"
Carrot- Berlicum,Daucus carota,vegetable,Root vegetable; Cylindrical roots with a smooth skin; Stores well,80 days,5cm,5mm,"Full sun, moist well drained soil","Spring, summer and autumn",14-21 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Biennial (usually grown as an annual),"Also known as ""Sweet Pepper""","Discover the **Carrot - Berlicum** (*Daucus carota*), a European gem perfect for your home garden. This **reliable, mid-season** variety produces **slender, cylindrical roots** that grow up to *20cm long* in well-prepared soil. With their **smooth skin** and **crisp, uniform texture**, these deep orange carrots are a delight to harvest. Best of all, they **store exceptionally well**, ensuring you can enjoy their sweet flavor long after the growing season.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Carrot- Berlicum_Daucus carota/Carrot- Berlicum_Daucus carota_1.jpg; Carrot- Berlicum_Daucus carota/Carrot- Berlicum_Daucus carota_2.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","February, March, April, May, June, July, August, September","January, February, March, April, May, June, July, August, September, October, November, December","Rosemary, Sage, Chives, Onion, Leek, Lettuce, Radish, Bush Beans, Peas, Tomato","Fennel, Dill, Parsnip, Celery, Coriander","Beets, Peppers, Spinach, Cabbage, Broccoli, Marigold"
Carrot- Chantenay Red Cored,Daucus carota,vegetable,Root vegetable; Short red/orange roots; Good for heavy soils,60-75 days,5cm,5mm,"Full sun, well drained soil","Spring, summer and autumn",14-21 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Biennial (usually grown as an annual),"Also known as ""Sweet Pepper""","Meet the **Carrot - Chantenay Red Cored** (*Daucus carota*), a fantastic choice for gardeners with **heavy soils**. These **fast-growing** carrots boast **short, wide, tapered roots** that reach about *12cm long* and *6.5cm wide*. Their appealing red-orange hue and small cores make them a culinary favorite, offering a **sweet and tender** taste whether enjoyed fresh or cooked. Plus, they **store well**, providing a delicious harvest for months to come.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Carrot- Chantenay Red Cored_Daucus carota/Carrot- Chantenay Red Cored_Daucus carota_1.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","February, March, April, May, June, July, August, September","January, February, March, April, May, June, July, August, September, October, November, December","Rosemary, Sage, Chives, Onion, Leek, Lettuce, Radish, Bush Beans, Peas, Tomato","Fennel, Dill, Parsnip, Celery, Coriander","Beets, Peppers, Spinach, Cabbage, Broccoli, Marigold"
Carrot- Chantenay Royal,Daucus carota,vegetable,Root vegetable; 15cm long cylindrical roots; Red/orange colour,70-120 days,5cm,5mm,"Full sun, moist well drained soil","Spring, summer and autumn",14-21 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half Hardy Biennial (usually grown as an annual),"Also known as ""Sweet Pepper""","Introducing the **Carrot - Chantenay Royal** (*Daucus carota*), a **productive and reliable** variety favored by market gardeners. This variety, introduced in the 1950s, yields impressive **large, cylindrical roots**, reaching up to *15cm long*. Their attractive dark red-orange color and smooth skin are matched by a **sweet flavor** that shines both fresh and cooked. ***A standout choice for heavy (clay) soils***, these carrots also **store exceptionally well**, making them a truly rewarding addition to your vegetable patch.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Carrot- Chantenay Royal_Daucus carota/Carrot- Chantenay Royal_Daucus carota_1.jpg; Carrot- Chantenay Royal_Daucus carota/Carrot- Chantenay Royal_Daucus carota_2.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","February, March, April, May, June, July, August, September","January, February, March, April, May, June, July, August, September, October, November, December","Rosemary, Sage, Chives, Onion, Leek, Lettuce, Radish, Bush Beans, Peas, Tomato","Fennel, Dill, Parsnip, Celery, Coriander","Beets, Peppers, Spinach, Cabbage, Broccoli, Marigold"
Carrot- Cosmic Purple,Daucus carota,vegetable,Root vegetable; Sweet roots growing to 18cm; Purple skin with orange interior,58 days,5cm,5mm,"Full sun, well drained soil","Spring, summer and autumn",14-21 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Half hardy Biennial (usually grown as an annual),"Sweet roots growing to 18cm; Also known as ""Sweet Pepper""","Discover the **Carrot - Cosmic Purple** (*Daucus carota*), a root vegetable that brings a touch of magic to your garden and plate. These fascinating carrots boast **smooth purple skin** that gives way to a **vibrant orange interior**, creating a stunning visual contrast. Growing up to *18cm* long, they are celebrated for their **fast growth** and **exceptionally sweet flavor**. A true culinary delight, the Cosmic Purple carrot **retains its beautiful color well when cooked**, making it a versatile ingredient for all your favorite dishes.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Carrot- Cosmic Purple_Daucus carota/Carrot- Cosmic Purple_Daucus carota_1.jpg; Carrot- Cosmic Purple_Daucus carota/Carrot- Cosmic Purple_Daucus carota_2.jpg,"January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","February, March, April, May, June, July, August, September, October","February, March, April, May, June, July, August, September","January, February, March, April, May, June, July, August, September, October, November, December","Rosemary, Sage, Chives, Onion, Leek, Lettuce, Radish, Bush Beans, Peas, Tomato","Fennel, Dill, Parsnip, Celery, Coriander","Beets, Peppers, Spinach, Cabbage, Broccoli, Marigold"
