plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period,beneficial_companions,harmful_companions,neutral_companions
Eucalyptus- Round Leaved Mallee,Eucalyptus orbifolia,flower,Multistemmed tree to 8m; Foliage suited to floristry; Ornamental 'minni ritchie' bark,,400cm,2mm,"Full sun, well drained soil","Spring, summer and autumn",7-28 days @ 18-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Half Hardy Perennial,,"**Eucalyptus - Round Leaved Mallee** (*Eucalyptus orbifolia*) is a beautiful mallee eucalypt that grows as a large shrub or small tree, reaching up to *8m* with the characteristic multiple stems of its kind. Its **silver-grey leaves are oval to heart-shaped**, measuring *2.5-4cm* long, and are **ideal for use as a foliage filler in floristry**. During *winter and spring*, the tree is adorned with **creamy white to pale yellow flowers**. A truly unique feature is its **ornamental 'minni ritchie' bark**, which is reddish-brown and continuously peels and curls to reveal lighter bark beneath. This mallee is **native to arid regions** and is best suited to dry, low-humidity summers. It can even be grown in a large container to manage its size. This variety is also known as 'Disc-leaf Mallee' and is a **delightful attractant for birds**. Remember that native seeds often require specific conditions and patience for germination.",White/Cream Flowers; Drought tolerant; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Eucalyptus- Round Leaved Mallee_Eucalyptus orbifolia/Eucalyptus- Round Leaved Mallee_Eucalyptus orbifolia_1.jpg; Eucalyptus- Round Leaved Mallee_Eucalyptus orbifolia/Eucalyptus- Round Leaved Mallee_Eucalyptus orbifolia_2.jpg,"January, February, March, April, May, September, October, November, December","January, February, March, April, May, September, October, November, December","January, February, March, April, May, August, September, October, November, December","March, April, May, September, October, November","January, February, March, April, May, August, September, October, November, December","Kangaroo Paw, Grevillea, Westringia, Native Grasses","Tomato, Potato, Lettuce, Beans, Roses, Petunia","Rosemary, Lavender, Agapanthus (planted at a distance from the dripline)"
Eucalyptus- Silver Princess,,flower,Weeping tree to 14m; Large flowers and gumnuts; Attracts birds,,,2mm,"Full sun, well drained soil","Spring, summer and autumn",10-28 days @ 16-22°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Frost Hardy Perennial,,"**Eucalyptus - Silver Princess** (*Eucalyptus*) is a graceful small tree that can grow up to *14m* tall, distinguished by its **weeping, pendulous branches** and grey-green foliage. The juvenile leaves are rounded and green, transitioning to lanceolate adult leaves that are *10-14cm* long. In *autumn and winter*, it produces **large, showy pink or red flowers**, followed by **impressive ornamental gumnuts**. A unique characteristic is the **powdery white coating** on the stems, flower buds, and gumnuts, which gives the entire plant a shimmering, silvery appearance. This 'mallee' eucalyptus, native to the wheatbelt region of Western Australia, is **ideal as a striking feature tree**, whether planted as a single specimen or in a small group. It is also a **wonderful attractant for birds**. Note that germination of native seeds can be variable and may require specific pre-treatment and patience.",Red/Crimson Flowers; Pink/Rose Flowers; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Eucalyptus- Silver Princess_unknown/Eucalyptus- Silver Princess_unknown_1.jpg; Eucalyptus- Silver Princess_unknown/Eucalyptus- Silver Princess_unknown_2.jpg,"January, February, March, April, May, September, October, November, December","January, February, March, April, May, September, October, November, December","January, February, March, April, May, August, September, October, November, December","March, April, May, September, October, November","January, February, March, April, May, August, September, October, November, December","Correa (Native Fuchsia), Hardenbergia, Dianella, Other drought-tolerant Australian natives","Cucumbers, Peas, Peppers, Cabbage, Most annual flowers","Plants in raised beds or containers, Established deep-rooted shrubs (e.g., Viburnum, Photinia)"
Evening Primrose,Oenothera biennis,flower,Biennial 120cm; Medicinal herb; Fragrant yellow flowers,75-85 days,30cm,1mm,"Full sun, moist well drained soil",Spring and summer,15-30 days @ 18-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Biennial,,"**Evening Primrose** (*Oenothera biennis*) is a **biennial** that reaches an impressive *120cm* in height. This erect plant features attractive medium-green leaves and **fragrant yellow flowers** that unfurl in the evening, adding a touch of magic to your garden as dusk settles. Beyond its ornamental charm, this versatile plant is recognized for its **numerous medicinal uses**, making it a valuable addition for both beauty and wellness.",Yellow Flowers; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_1.jpg; Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_2.jpg; Evening Primrose_Oenothera biennis/Evening Primrose_Oenothera biennis_3.jpg,"September, October, November",,,,,"Squash, Melons, Grapes, Corn, Plants that benefit from nocturnal pollinators","Delicate herbs, Low-growing alpine plants, Small annuals (e.g., Alyssum)","Tomato, Sunflower, Roses, Established shrubs"
Evening Primrose- Innocence,Oenothera pallida,flower,Perennial to 30cm; Fast growing,60 days,30cm,1mm,"Full sun, well drained soil",Spring and summer,14-21 days @ 18-21°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,Fast growing,"Discover the delicate beauty of **Evening Primrose- Innocence** (*Oenothera pallida*), a **perennial** that grows to *30cm*. These **fast-growing**, small bushy plants are adorned with **large, fragrant, crinkled flowers** that begin as a pristine white and gracefully age to a soft pale pink. Their **saucer-shaped blooms** are a delight, and their **drought tolerance** once established makes them a low-maintenance choice. They are **perfect for borders, beds, rockeries, containers, and pots**, bringing effortless charm to any garden space.",White/Cream Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Evening Primrose- Innocence_Oenothera pallida/Evening Primrose- Innocence_Oenothera pallida_1.jpg; Evening Primrose- Innocence_Oenothera pallida/Evening Primrose- Innocence_Oenothera pallida_2.jpg,"September, October, November",,,,,"Coneflower (Echinacea), Black-Eyed Susan (Rudbeckia), Sedum, Ornamental Grasses","Alyssum, Thyme, Small alpine plants (e.g., Sempervivum), Other low-growing groundcovers","Staked Tomatoes, Peppers, Established shrubs, Roses"
Evening Primrose- Pink,Oenothera speciosa,flower,Perennial to 40cm; Scented flowers open at night; White flowers age to rosy pink,60 days,40cm,1mm,"Full sun, well drained soil",Spring and summer,14-21 days @ 18-21°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,,"Brighten your garden with **Evening Primrose- Pink** (*Oenothera speciosa*), a **perennial** reaching up to *40cm*. These **fast-growing** plants produce **large, four-petalled, saucer-shaped flowers** that are a true spectacle. The **fragrant blooms** begin as pure white and transform into a lovely rosy pink, opening at night and often lingering into the morning or even all day in overcast conditions. Ideal for **borders, beds, rockeries, containers, and pots**, these plants can spread by rhizomes and self-seeding, and are **drought tolerant** once established, offering a vibrant and resilient display.",Pink/Rose Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Evening Primrose- Pink_Oenothera speciosa/Evening Primrose- Pink_Oenothera speciosa_1.jpg; Evening Primrose- Pink_Oenothera speciosa/Evening Primrose- Pink_Oenothera speciosa_2.jpg; Evening Primrose- Pink_Oenothera speciosa/Evening Primrose- Pink_Oenothera speciosa_3.jpg,"September, October, November",,,,,"Yarrow (Achillea), Bee Balm (Monarda), Other aggressive, drought-tolerant perennials for naturalized areas","Most common garden perennials (e.g., Hosta, Delphinium), Vegetables, Herbs, Annuals","Large established trees, Shrubs behind a root barrier, Plants in containers"
Everlasting Daisy- Copper Red,Xerochrysum bracteatum,flower,Perennial 80cm; Australian native; Copper red coloured flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Copper Red seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"Discover the vibrant **Everlasting Daisy- Copper Red** (*Xerochrysum bracteatum*), a short-lived perennial that reaches up to *80cm* and graces your garden with stunning **copper red flowers** that boast **golden orange centers** and delightfully **papery textured petals**. This **Australian native** beauty is a low-maintenance marvel, thriving even in **poor soil conditions** and offering excellent **drought tolerance**. It's a versatile performer, perfect for **native gardens**, **container plantings**, **garden beds**, **borders**, **coastal areas**, and **rockeries**. Beyond its ornamental charm, it's a **fantastic cut or dried flower** that lasts indefinitely, and its blooms, appearing **from spring through to autumn**, are a magnet for **native bees and hoverflies**, making it a valuable addition for attracting **beneficial insects**. Also known as ""Paper daisy"" or ""Strawflower,"" this plant offers **red/crimson flowers** and is ideal for **ornamental use**.",Red/Crimson Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Copper Red_Xerochrysum bracteatum/Everlasting Daisy- Copper Red_Xerochrysum bracteatum_1.jpg; Everlasting Daisy- Copper Red_Xerochrysum bracteatum/Everlasting Daisy- Copper Red_Xerochrysum bracteatum_2.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Broccoli, Cabbage, Roses, Tomato, Lavender, Rosemary, Salvia","Hosta, Ferns, Astilbe, Plants requiring consistently moist soil","Zinnia, Cosmos, Marigold, Coneflower, Peppers, Eggplant"
Everlasting Daisy- Mixed,Xerochrysum bracteatum,flower,Perennial 90cm; Australian native; Mixed coloured flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Mixed seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"Brighten your garden with the **Everlasting Daisy- Mixed** (*Xerochrysum bracteatum*), a short-lived perennial reaching about *90cm* tall. This **Australian native** daisy produces large, eye-catching flowers with **golden orange centers** and **papery textured petals** in a delightful **mixture of colors**, including shades of red, pink, orange, yellow, and white. It's a versatile choice for **native gardens**, **container plantings**, **garden beds**, **borders**, **coastal areas**, and **rockeries**. Enjoy its **low maintenance** nature, as it's tolerant of **poor soil conditions** and **drought**. These blooms are **fantastic cut or dried flowers** that last indefinitely, flowering **from spring through to autumn**. They also attract **native bees and hoverflies**, contributing to a healthy garden ecosystem. Also known as ""Paper daisy"" or ""Strawflower,"" this variety is perfect for **container growing**.",mixed Flowers; Container growing,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Mixed_Xerochrysum bracteatum/Everlasting Daisy- Mixed_Xerochrysum bracteatum_1.jpg; Everlasting Daisy- Mixed_Xerochrysum bracteatum/Everlasting Daisy- Mixed_Xerochrysum bracteatum_2.jpg; Everlasting Daisy- Mixed_Xerochrysum bracteatum/Everlasting Daisy- Mixed_Xerochrysum bracteatum_3.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Roses, Cabbage, Broccoli, Tomato, Salvia, Lavender, Rosemary","Ferns, Hosta, Astilbe, Any plant that requires heavy moisture","Marigold, Zinnia, Cosmos, Peppers, Eggplant, Coneflower"
Everlasting Daisy- Pink,Xerochrysum bracteatum,flower,Perennial 80cm; Australian native; Pink coloured flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Pink seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"Add a touch of soft color with the **Everlasting Daisy- Pink** (*Xerochrysum bracteatum*), a short-lived perennial that grows to *80cm*. This charming **Australian native** daisy features large flowers with **golden orange centers** and beautiful **pink papery textured petals**. It's an excellent choice for **native gardens**, **container plantings**, **garden beds**, **borders**, **coastal areas**, and **rockeries**, offering **low maintenance** and **drought tolerance**. The blooms, which appear **from spring through to autumn**, are **fantastic cut or dried flowers** that last indefinitely. This daisy is also wonderful for attracting **native bees and hoverflies**, making it a great plant for **beneficial insects**. Known also as ""Paper daisy"" or ""Strawflower,"" this variety provides **pink/rose flowers** and is ideal for **ornamental use**.",Pink/Rose Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Pink_Xerochrysum bracteatum/Everlasting Daisy- Pink_Xerochrysum bracteatum_1.jpg; Everlasting Daisy- Pink_Xerochrysum bracteatum/Everlasting Daisy- Pink_Xerochrysum bracteatum_2.jpg; Everlasting Daisy- Pink_Xerochrysum bracteatum/Everlasting Daisy- Pink_Xerochrysum bracteatum_3.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Tomato, Roses, Broccoli, Cabbage, Lavender, Rosemary, Salvia","Moisture-loving plants, Hosta, Ferns, Astilbe","Peppers, Eggplant, Zinnia, Cosmos, Marigold, Coneflower"
Everlasting Daisy- Purple Red,Xerochrysum bracteatum,flower,Perennial 100cm; Australian native; Deep purple red flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Purple Red seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"**Everlasting Daisy - Purple Red** (*Xerochrysum bracteatum*) is a stunning, short-lived perennial that reaches up to *100cm* in height. This Australian native beauty boasts large daisy-like flowers with striking golden-orange centers and rich, deep purple-red petals. It's a versatile plant, thriving in native gardens, containers, beds, borders, coastal settings, and rockeries. Enjoy its **low maintenance** nature, as it's **tolerant of poor soil and drought**. The blooms are ***fantastic for cutting and drying, lasting indefinitely***, and they provide continuous color from spring through autumn. Plus, they're a magnet for **beneficial native bees and hoverflies**. You might also know it as ""Paper daisy"" or ""Strawflower.""",Red/Crimson Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Purple Red_Xerochrysum bracteatum/Everlasting Daisy- Purple Red_Xerochrysum bracteatum_1.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Lavender, Rosemary, Salvia, Roses, Broccoli, Cabbage, Tomato","Astilbe, Hosta, Ferns, Plants that prefer shade and moist soil","Coneflower, Marigold, Zinnia, Cosmos, Peppers, Eggplant"
Everlasting Daisy- Salmon Rose,Xerochrysum bracteatum,flower,Perennial 80cm; Australian native; Salmon coloured flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Salmon Rose seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"**Everlasting Daisy - Salmon Rose** (*Xerochrysum bracteatum*) is a delightful, short-lived perennial that grows to about *80cm*. As an Australian native, it produces large daisy flowers with warm golden-yellow centers and soft, salmon-colored papery petals. This plant is a wonderful addition to native gardens, containers, garden beds, borders, coastal areas, and rockeries. It's remarkably **low maintenance**, **tolerating poor soil conditions and drought**. The blooms are ***perfect for cutting and drying, offering everlasting beauty***. Expect a long flowering season from spring to autumn, and appreciate its role in **attracting native bees and hoverflies**. It's also commonly called ""Paper daisy"" or ""Strawflower.""",Pink/Rose Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Salmon Rose_Xerochrysum bracteatum/Everlasting Daisy- Salmon Rose_Xerochrysum bracteatum_1.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Salvia, Lavender, Rosemary, Tomato, Roses, Broccoli, Cabbage","Plants requiring wet feet, Hosta, Ferns, Astilbe","Peppers, Eggplant, Coneflower, Marigold, Zinnia, Cosmos"
Everlasting Daisy- Scarlet,Xerochrysum bracteatum,flower,Perennial 100cm; Australian native; Bright red flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Scarlet seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"**Everlasting Daisy - Scarlet** (*Xerochrysum bracteatum*) is a vibrant, short-lived perennial that grows to a height of *100cm*. This Australian native marvel features large flowers with bright golden-orange centers and eye-catching, bright red petals. It's an excellent choice for native gardens, container plantings, garden beds, borders, coastal environments, and rockeries. This **low maintenance** plant is **tolerant of poor soil and drought**. Its blooms are ***ideal for cutting and drying, providing enduring beauty***. Enjoy a prolonged flowering period from spring through autumn, and welcome **beneficial native bees and hoverflies** to your garden. It is also recognized as ""Paper daisy"" or ""Strawflower.""",Red/Crimson Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Scarlet_Xerochrysum bracteatum/Everlasting Daisy- Scarlet_Xerochrysum bracteatum_1.jpg; Everlasting Daisy- Scarlet_Xerochrysum bracteatum/Everlasting Daisy- Scarlet_Xerochrysum bracteatum_2.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Tomatoes, Squash, Roses, Lavender, Rosemary, Salvia","Ferns, Hostas, Plants requiring heavy shade or boggy soil","Carrots, Lettuce, Zinnias, Cosmos, Petunias"
Everlasting Daisy- Silvery Rose,Xerochrysum bracteatum,flower,Perennial 100cm; Australian native; Salmon coloured flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Silvery Rose seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"**Everlasting Daisy- Silvery Rose** (**_Xerochrysum bracteatum_**) is a charming, short-lived perennial that reaches up to *100cm* tall. This **Australian native daisy** boasts large, silvery pale pink flowers with delightful golden yellow centers and uniquely **papery textured petals**. It's a versatile beauty, perfect for **native gardens**, **container plantings**, **garden beds**, **borders**, **coastal areas**, and **rockeries**. Enjoy its **low maintenance** nature, as it's **tolerant of poor soil conditions and drought**. The blooms are ***fantastic for cut or dried arrangements, lasting indefinitely***, and they grace your garden with color from *spring through autumn*. Plus, it's a magnet for **native bees and hoverflies**, making it a beneficial addition to any garden. Also known as ""Paper daisy"" or ""Strawflower.""",Pink/Rose Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Silvery Rose_Xerochrysum bracteatum/Everlasting Daisy- Silvery Rose_Xerochrysum bracteatum_1.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Tomatoes, Squash, Roses, Lavender, Rosemary, Salvia","Ferns, Hostas, Plants requiring heavy shade or boggy soil","Carrots, Lettuce, Zinnias, Cosmos, Petunias"
Everlasting Daisy- Tom Thumb Mix,Xerochrysum bracteatum,flower,Perennial 40cm; Australian native; Mixed coloured flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- Tom Thumb Mix seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"**Everlasting Daisy- Tom Thumb Mix** (**_Xerochrysum bracteatum_**) is a delightful dwarf, short-lived perennial reaching about *40cm* in height. This **Australian native daisy** showcases large flowers with golden orange centers and **papery textured petals** in a vibrant **mixture of colors**, including shades of red, pink, orange, yellow, and white. It thrives in **native gardens**, **container plantings**, **garden beds**, **borders**, **coastal areas**, and **rockeries**. This **low maintenance** plant is **tolerant of poor soil conditions and drought**. Its blooms are ***perfect for cut or dried flowers, offering lasting beauty indefinitely***. Expect a long flowering season from *spring to autumn*, and appreciate its role in **attracting native bees and hoverflies**. Also known as ""Paper daisy"" or ""Strawflower.""",mixed Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- Tom Thumb Mix_Xerochrysum bracteatum/Everlasting Daisy- Tom Thumb Mix_Xerochrysum bracteatum_1.jpg; Everlasting Daisy- Tom Thumb Mix_Xerochrysum bracteatum/Everlasting Daisy- Tom Thumb Mix_Xerochrysum bracteatum_2.jpg; Everlasting Daisy- Tom Thumb Mix_Xerochrysum bracteatum/Everlasting Daisy- Tom Thumb Mix_Xerochrysum bracteatum_3.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Tomatoes, Squash, Roses, Lavender, Rosemary, Salvia","Ferns, Hostas, Plants requiring heavy shade or boggy soil","Carrots, Lettuce, Zinnias, Cosmos, Petunias"
Everlasting Daisy- White,Xerochrysum bracteatum,flower,Perennial 80cm; Australian native; White flowers,80 days,55cm,1mm,Full sun,"Spring, summer and autumn",7-14 days @ 18-21°C,Everlasting Daisy- White seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy Perennial (short lived),,"**Everlasting Daisy- White** (**_Xerochrysum bracteatum_**) is an elegant, short-lived perennial that grows to approximately *80cm* tall. This **Australian native daisy** features large flowers with striking golden orange centers and pure **white papery textured petals**. It's an ideal choice for **native gardens**, **container plantings**, **garden beds**, **borders**, **coastal areas**, and **rockeries**. This **low maintenance** variety is **tolerant of poor soil conditions and drought**. The blooms are ***exceptional for cut or dried arrangements, providing enduring beauty***. Enjoy its extended flowering period from *spring through autumn*, and welcome the **native bees and hoverflies** it attracts. Also known as ""Paper daisy"" or ""Strawflower.""",White/Cream Flowers; Container growing; Rockeries; Borders; Beds; Drought tolerant; Ornamental use; Attracts beneficial insects; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Daisy- White_Xerochrysum bracteatum/Everlasting Daisy- White_Xerochrysum bracteatum_1.jpg; Everlasting Daisy- White_Xerochrysum bracteatum/Everlasting Daisy- White_Xerochrysum bracteatum_2.jpg; Everlasting Daisy- White_Xerochrysum bracteatum/Everlasting Daisy- White_Xerochrysum bracteatum_3.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, May, September, October, November, December","April, May, June, July, August, September",,"March, April, May, June, July","Tomatoes, Squash, Roses, Lavender, Rosemary, Salvia","Ferns, Hostas, Plants requiring heavy shade or boggy soil","Carrots, Lettuce, Zinnias, Cosmos, Petunias"
Everlasting Sweetpea- Latifolius Pink,Lathyrus latifolius,flower,"Climbing perennial 200cm; Attractive pink flowers; Good for trellis, borders and rockeries",195-210 days,15cm,25mm,"Part or full sun, moist well drained soil",Spring and autumn,14-30 days @ 18-20°C,Sow direct or raise seedlings,Hardy Perennial,[Set as my climate](https://www.theseedcollection.com.au/Everlasting-Sweetpea-Latifolius-Pink#); [Description](https://www.theseedcollection.com.au/Everlasting-Sweetpea-Latifolius-Pink#facts); [How To Grow](https://www.theseedcollection.com.au/Everlasting-Sweetpea-Latifolius-Pink#grow); [Shipping](https://www.theseedcollection.com.au/Everlasting-Sweetpea-Latifolius-Pink#shipping); [Ratings & Reviews](https://www.theseedcollection.com.au/Everlasting-Sweetpea-Latifolius-Pink#reviews),"**Everlasting Sweetpea - Latifolius Pink** (*Lathyrus latifolius*) is a **climbing perennial** that reaches up to *200cm* in height, gracing your garden with attractive **pink flowers**. Its blue-green foliage and hardy nature make it a **frost hardy** and **drought tolerant** choice, perfect for adding vibrant color to trellises, borders, and rockeries. While it can be invasive, its ornamental appeal as the Everlasting Pea, Perennial Pea, or Perennial Sweetpea is undeniable.",Pink/Rose Flowers; Rockeries; Borders; Drought tolerant; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Sweetpea- Latifolius Pink_Lathyrus latifolius/Everlasting Sweetpea- Latifolius Pink_Lathyrus latifolius_1.jpg; Everlasting Sweetpea- Latifolius Pink_Lathyrus latifolius/Everlasting Sweetpea- Latifolius Pink_Lathyrus latifolius_2.jpg,"February, March, April, September, October, November","March, April, May, August, September, October","March, April, May, August, September","February, March, April, May","February, March, April, May","Corn, Squash, Tomatoes, Cucumbers, Roses, Sunflowers","Onions, Garlic, Chives, Shallots","Carrots, Radishes, Oregano, Thyme, Marigolds"
Everlasting Sweetpea- White Pearl,Lathyrus latifolius,flower,Climbing herbaceous perennial 200cm; Unscented white flowers; Summer flowering variety,195-210 days,15cm,25mm,"Part or full sun, moist well drained soil",Summer and autumn. Spring in cool climates,14-30 days @ 18-20°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Perennial,[Set as my climate](https://www.theseedcollection.com.au/everlasting-sweetpea-white-pearl#); [Description](https://www.theseedcollection.com.au/everlasting-sweetpea-white-pearl#facts); [How To Grow](https://www.theseedcollection.com.au/everlasting-sweetpea-white-pearl#grow); [Shipping](https://www.theseedcollection.com.au/everlasting-sweetpea-white-pearl#shipping); [Ratings & Reviews](https://www.theseedcollection.com.au/everlasting-sweetpea-white-pearl#reviews),"**Everlasting Sweetpea - White Pearl** (*Lathyrus latifolius*) is a **vigorous, climbing herbaceous perennial** that grows to *2m*, adorned with **unscented white flowers** borne on upright racemes during summer. This variety, recognized with the **Royal Horticultural Society Award of Garden Merit**, features winged stems and grey-green leaflets with tendrils. ***Its pure white blooms are perfect for trellises or naturalizing through shrubs***, offering a beautiful ornamental display for borders and beds, and also makes for lovely cut flowers.",White/Cream Flowers; Borders; Beds; Ornamental use; Cut flowers,"Open pollinated, untreated, non-GMO variety of seed",Everlasting Sweetpea- White Pearl_Lathyrus latifolius/Everlasting Sweetpea- White Pearl_Lathyrus latifolius_1.jpg; Everlasting Sweetpea- White Pearl_Lathyrus latifolius/Everlasting Sweetpea- White Pearl_Lathyrus latifolius_2.jpg; Everlasting Sweetpea- White Pearl_Lathyrus latifolius/Everlasting Sweetpea- White Pearl_Lathyrus latifolius_3.jpg,"February, March, April, September, October, November","March, April, May, August, September, October","March, April, May, August, September","February, March, April, May","February, March, April, May","Corn, Squash, Tomatoes, Cucumbers, Roses, Sunflowers","Onions, Garlic, Chives, Shallots","Carrots, Radishes, Oregano, Thyme, Marigolds"
Exotic Love Vine,Ipomoea lobata,flower,Annual climbing vine; Fast growing and prolific flowering,90-100 days,10cm,7mm,"Full to part sun, moist well drained soil",Spring and summer,7-10 days @ 20-25°C,Exotic Love Vine seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Frost Tender Annual,Fast growing and prolific flowering,"The **Exotic Love Vine** (*Ipomoea lobata*) is a **fast-growing annual climbing vine** that reaches up to *250cm*, boasting deeply lobed dark green leaves and striking dark purple stems. This heirloom vine from South America produces an abundance of **brightly colored tubular flowers** in forked pairs, with colors graduating from deep scarlet to cream. ***Its prolific flowering throughout summer makes it a showstopper for warm weather gardens***, attracting birds and butterflies while serving as a beautiful ornamental for beds. Also known as ""Fire Cracker Vine"" or ""Spanish Flag,"" it's a delightful addition that attracts beneficial insects.",Multi-Coloured Flowers; Attracts beneficial insects; Beds; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Exotic Love Vine_Ipomoea lobata/Exotic Love Vine_Ipomoea lobata_1.jpg; Exotic Love Vine_Ipomoea lobata/Exotic Love Vine_Ipomoea lobata_2.jpg; Exotic Love Vine_Ipomoea lobata/Exotic Love Vine_Ipomoea lobata_3.jpg; Exotic Love Vine_Ipomoea lobata/Exotic Love Vine_Ipomoea lobata_4.jpg,"September, October, November",,,,,"Squash, Cucumbers, Melons, Sunflowers, Beans","Delicate annuals, Small herbs, Slow-growing perennials","Tomatoes, Peppers, Zinnias, Marigolds, Cosmos"
