plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Basil- Lemon,Ocimum americanum,herb,Annual 40cm; Culinary herb; Strong lemon flavour,90-110 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Strong lemon flavour; Fast growing; Best flavour of the common thyme varieties,"**Thai Lemon Basil**: This aromatic annual herb grows to 40cm and boasts narrow green leaves with a strong lemon fragrance and flavor, perfect for adding zing to curries, salads, rice dishes, noodle dishes, teas, and desserts. It's also a popular choice for potpourri. Also known as ""Hoary Basil"" or ""Thai Lemon Basil"", it's a versatile variety that's sure to elevate any dish.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Lemon_Ocimum americanum/Basil- Lemon_Ocimum americanum_1.jpg; Basil- Lemon_Ocimum americanum/Basil- Lemon_Ocimum americanum_2.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Medinette,Ocimum basilicum,herb,Annual 30cm; Suited for pots; Suited to warm climates,65 days,20cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing,"**Compact Bush Basil**: As an annual herb, this compact bush basil grows to just 30cm, making it ideal for container gardens and small spaces. Its medium-sized leaves are larger than standard bush basil but smaller than Genovese, and it's slow to bolt, making it a great choice for warm climates or greenhouse growing.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Medinette_Ocimum basilicum/Basil- Medinette_Ocimum basilicum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Mrs Burns Lemon,Ocimum basilicum,herb,Annual 50cm; Culinary herb; Attractive lemon scented leaves,60 days,40cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Fast growing; Best flavour of the common thyme varieties,"**Lime Basil**: This heirloom annual herb grows to 50cm with fragrant green leaves that have a strong lemon and lime flavor, perfect for adding a twist to salads, rice dishes, soups, stews, and desserts. It's more heat tolerant than regular basils and has good disease resistance, making it a great choice for any garden.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Mrs Burns Lemon_Ocimum basilicum/Basil- Mrs Burns Lemon_Ocimum basilicum_1.jpg; Basil- Mrs Burns Lemon_Ocimum basilicum/Basil- Mrs Burns Lemon_Ocimum basilicum_2.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Sweet,Ocimum basilicum,herb,Annual 50cm; Culinary herb; Sweet and mild in flavour,60-80 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual, Sweet and mild in flavour,"**Sweet Basil**: This aromatic annual herb grows to 50cm with large, medium-green shiny leaves that are sweeter and milder in flavor than other common varieties. Slow bolting makes it perfect for container gardens, and its sweet flavor is ideal for using fresh or dried.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_1.jpg; Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_2.jpg; Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_3.jpg; Basil- Sweet_Ocimum basilicum/Basil- Sweet_Ocimum basilicum_4.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Thai,Ocimum basilicum,herb,Annual 50cm; Culinary herb; Licorice flavour,50 days,30cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Licorice flavour; Best flavour of the common thyme varieties,"**Aniseed Basil**: This aromatic annual herb grows to 50cm and boasts a unique flavor with hints of liquorice, making it perfect for adding depth to Asian dishes as a condiment or in salads. Its leaves keep their flavor when cooked, making it a great choice for any kitchen.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Basil- Thai_Ocimum basilicum/Basil- Thai_Ocimum basilicum_1.jpg; Basil- Thai_Ocimum basilicum/Basil- Thai_Ocimum basilicum_2.jpg; Basil- Thai_Ocimum basilicum/Basil- Thai_Ocimum basilicum_3.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Basil- Thai Siam Queen,Ocimum americanum,herb,Annual 80cm; Culinary herb; Larger leaves that regular Thai Basil,70 days,40cm,2mm,"Full sun, moist well drained soil",Spring and summer,5-10 days @ 18-35°C,Sow direct or raise seedlings,Frost tender Annual,Best flavour of the common thyme varieties,"**Thai Purple Basil**: This annual variety grows to 80cm with fragrant green leaves and purple stems producing small red/purple flowers. Its strong aniseed-like flavor is perfect for adding to Asian cuisine, particularly in salads, noodle dishes, and rice dishes. It's also a beautiful ornamental plant with attractive purple stems.",Container growing; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Basil- Thai Siam Queen_Ocimum americanum/Basil- Thai Siam Queen_Ocimum americanum_1.jpg,"January, February, September, October, November, December","September, October, November, December","January, February, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, September, October, November, December"
Bergamot- Wild,Monarda fistulosa,herb,"Perennial to 100cm; Culinary herb; Also known as ""Bee Balm""",365 days,45cm,1mm,"Part or full sun, moist well drained soil",Spring and summer,7-14 days @ 16-21°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Fast growing,"**Purple Beebalm**: This perennial herb grows to 100cm with an upright clump-forming habit, green toothed leaves, and pinky lavender blooms. Native to Northern America, it has a history of medicinal use and is frequently used as a culinary herb in savory dishes. Its attractive purple flowers also attract beneficial insects and bees.",Purple/Violet Flowers; Attracts beneficial insects; Culinary use; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Bergamot- Wild_Monarda fistulosa/Bergamot- Wild_Monarda fistulosa_1.jpg; Bergamot- Wild_Monarda fistulosa/Bergamot- Wild_Monarda fistulosa_2.jpg,"January, February, March, October, November, December","January, February, March, April, September, October, November, December","April, May, June, July, August, September","April, May, June, July, August, September","April, May, June, July, August, September"
Blue Butterfly Pea,Clitoria ternatea,herb,Perennial to 200cm; Edible Blue and white flowers,90 days,50cm,20mm,"Full to part sun, moist soil",Spring to summer,7-14 days @ 20-30°C,Blue Butterfly Pea seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Frost tender Perennial (grown as an annual in cool climates),,"**Darwin Pea**: This perennial tropical climbing vine grows to 200cm (grown as an annual in cool climates) with bright blue and white flowers that have a history of medicinal uses. Its flowers can be consumed fresh, dried, or powdered, making it a versatile ingredient for adding natural color and flavor to dishes.",Attracts beneficial insects; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_1.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_2.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_3.jpg; Blue Butterfly Pea_Clitoria ternatea/Blue Butterfly Pea_Clitoria ternatea_4.jpg,"September, October, November",,,,
Borage,Borago officinalis,herb,Annual 90cm; Attracts bees,80-90 days,30cm,10mm,"Part or full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 20-22°C,Sow direct or raise seedlings,Hardy Annual,,"**Indigo Bush**: This annual herb grows to 90cm with bushy stems, hairy ovate leaves, and bright blue, star-shaped flowers that attract bees. Its attractive blue blooms make it a great choice for ornamental gardens or container plants.",Blue Flowers; Attracts beneficial insects; Medicinal use; Ornamental use,"Open pollinated, untreated, non-GMO variety of seed",Borage_Borago officinalis/Borage_Borago officinalis_1.jpg; Borage_Borago officinalis/Borage_Borago officinalis_2.jpg; Borage_Borago officinalis/Borage_Borago officinalis_3.jpg; Borage_Borago officinalis/Borage_Borago officinalis_4.jpg,"January, September, October, November, December","January, February, August, September, October, November, December","February, March, April, May, June, July, August, September, October, November","April, May, June, July, August, September","January, August, September, October, November, December"
Burdock- Takinogawa Long,Arctium lappa,herb,Root vegetable/medicinal herb; Long roots to 100cm; Fast growing,120 days,15cm,15mm,"Part or full sun, deep well drained soil","Spring, summer autumn",7-14 days @ 20-25°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial,Fast growing,". **Burdock Root**: With long roots growing up to 100 by 2cm, young burdock roots can be peeled and eaten in salads, while older roots are cooked as a root vegetable. Popular in Asian cuisine, its mild bittersweet flavor and strong aroma make it a great choice for adding depth to dishes. Its fast growth rate and many medicinal uses also make it a valuable addition to any garden or kitchen.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_1.jpg; Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_2.jpg; Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_3.jpg; Burdock- Takinogawa Long_Arctium lappa/Burdock- Takinogawa Long_Arctium lappa_4.jpg,"January, February, September, October, November, December","January, February, March, August, September, October, November, December","January, February, March, April, May, August, September, October, November, December","April, May, June","January, February, March, April, May, August, September, October, November, December"
Caraway,Carum carvi,herb,Biennial 60cm; Culinary herb; Sweet anise-like flavour,"120 days for flowers, 400 days for seed.",25cm,10mm,"Part or full sun, moist soil",Spring and autumn,7-14 days @ 18-22°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial,Sweet anise-like flavour,"**Caraway** is a biennial plant that grows up to 60cm tall. Its slender green stems produce feathery green leaves, followed by small white flowers and small ribbed fruit with a sweet anise-like taste. The fruit can be used to flavor various dishes, such as bread, cheese, cakes, curries, and casseroles. Interestingly, the roots can be eaten like parsnips, while young leaves can be used in salads or cooked like spinach.",Beds; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Caraway_Carum carvi/Caraway_Carum carvi_1.jpg; Caraway_Carum carvi/Caraway_Carum carvi_2.jpg; Caraway_Carum carvi/Caraway_Carum carvi_3.jpg; Caraway_Carum carvi/Caraway_Carum carvi_4.jpg,"September, October, November",,,,
Cat Grass,Dactylis glomerata,herb,Loved by cats; Can be grown indoors; Easy to grow,20-30 days,,,,,5-10 days @ 20-30°C,Close,,Best flavour of the common thyme varieties; Refreshing flavour,"Feline friends will love **Catgrass (Dactylis glomerata)**, which is often grown indoors for house cats that don't have access to other vegetation. This fast-growing plant can thrive indoors or outdoors but may become invasive if grown in the garden. To grow, simply sprinkle seeds on the surface of the soil and cover them thinly with more soil. Keep the soil moist, as it will germinate within 5-10 days.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Cat Grass_Dactylis glomerata/Cat Grass_Dactylis glomerata_1.jpg,"September, October, November",,,,
Catmint,Nepeta mussinii,herb,Good for container planting; Has culinary and medicinal uses; Highly attractive to bees,90 days,60cm,10mm,"Full sun, moist well drained soil",Spring,10-20 days @ 21-27°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,Refreshing flavour,"**Catmint** is a perennial herb that grows up to 45cm tall, forming clumps of lavender/blue spikes of flowers over an extended period. Its soft grey/green wrinkled leaves make it perfect for container planting and tolerate poor soil conditions and hot, dry weather. Not only does Catmint repel aphids, but its leaves can also be harvested fresh and added to soups or dried to be used like tea with a light minty flavor.",Purple/Violet Flowers; Container growing; Drought tolerant; Culinary use; Medicinal use; Ornamental use; Attracts beneficial insects,"Open pollinated, untreated, non-GMO variety of seed",Catmint_Nepeta mussinii/Catmint_Nepeta mussinii_1.jpg,"January, February, March, October, November, December","January, February, March, April, September, October, November, December","April, May, June, July, August, September","April, May, June, July, August, September","April, May, June, July, August, September"
Catnip,Nepeta cataria,herb,Perennial 150cm; Culinary and medicinal herb; Loved by cats,90 days,60cm,5mm,"Full sun, moist well drained soil","Spring, summer and autumn",10-20 days @ 21-27°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Hardy Perennial,,"**Catnip** is a perennial plant that grows up to 150cm tall, boasting fragrant mint-like leaves that can be used as flavorings and teas. This lovely herb is also known for its medicinal uses and has the added benefit of attracting bees. Perhaps most endearingly, Catnip's scent is said to make cats playful and docile.",Attracts beneficial insects,"Open pollinated, untreated, non-GMO variety of seed",Catnip_Nepeta cataria/Catnip_Nepeta cataria_1.jpg; Catnip_Nepeta cataria/Catnip_Nepeta cataria_2.jpg; Catnip_Nepeta cataria/Catnip_Nepeta cataria_3.jpg; Catnip_Nepeta cataria/Catnip_Nepeta cataria_4.jpg,"January, February, March, October, November, December","January, February, March, April, September, October, November, December","April, May, June, July, August, September","April, May, June, July, August, September","April, May, June, July, August, September"
Catnip- Lemon,,herb,Perennial to 90cm; Mint-lemon fragrance; Insect repellant,90 days,50cm,5mm,"Full or part sun, moist well drained soil","Spring, summer and autumn",10-20 days @ 21-27°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Frost Hardy Perennial,Mild flavour; Sweet roots growing to 18cm,"**Lemon Catnip** is a perennial herb that grows up to 90cm x 90cm with foliage boasting a pleasant mint-lemon fragrance. Its aroma is less attractive to cats than standard catnip but more pleasing to humans. The small white to purple flowers that appear in summer attract bees, while the leaves can be used in herbal teas and make for a natural insect repellent.",Attracts beneficial insects; Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Catnip- Lemon_unknown/Catnip- Lemon_unknown_1.jpg; Catnip- Lemon_unknown/Catnip- Lemon_unknown_2.jpg,"January, February, March, October, November, December","January, February, March, April, September, October, November, December","April, May, June, July, August, September","April, May, June, July, August, September","April, May, June, July, August, September"
Chervil,Anthriscus cerefolium,herb,Biennial 50cm; Gourmet Parsley; Culinary herb,60-70 days,30cm,6mm,"Shade or sun, moist soil",Spring and summer,10-14 days @ 13-20°C,Sow direct or raise seedlings,Hardy Biennial,Mild flavour,"**Chervil**, also known as 'Gourmet parsley', is a biennial plant growing up to 50cm tall. Its delicate curly green foliage has a mild aniseed flavor, making it perfect for adding subtle flavors to soups, poultry, seafood, vegetables, salads, and egg dishes.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Chervil_Anthriscus cerefolium/Chervil_Anthriscus cerefolium_1.jpg; Chervil_Anthriscus cerefolium/Chervil_Anthriscus cerefolium_2.jpg,"January, February, March, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August, September","May, June, July","May, June, July"
Chinese Mustard Greens- Gai Choi,Brassica juncea,herb,Leaf vegetable/salad green; Quick growing; Semi heading variety,50 days,15cm,5mm,"Part or full sun, moist soil",Spring and autumn,4-21 days @ 7-29°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Annual,,"This fast-growing **Mustard** variety boasts wide green leaves with thick white stems, offering a medium mustard flavor that can be used as a leaf vegetable or salad green. Its versatility extends to being great in stir fries and soups, as well as perfect for pickling – ideal even for baby leaves.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Chinese Mustard Greens- Gai Choi_Brassica juncea/Chinese Mustard Greens- Gai Choi_Brassica juncea_1.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
Chinese Mustard- Lime Streaks,Brassica japonica,herb,Mild flavour; Attractive green leaves,55 days (25 days for baby leaf),20cm,5mm,"Part or full sun, moist soil",Spring and autumn,5-10 days @ 7-29°C,Sow direct or raise seedlings,Hardy Annual,Mild flavour,"The bright green serrated **Mizuna** leaves of this fast-growing plant offer a mildly pungent flavor, making it an excellent addition to salads and sandwiches. Growing these plants as microgreens can also enhance their flavor profile, adding a pop of color and taste to your culinary creations.",Culinary use; Medicinal use,"Open pollinated, untreated, non-GMO variety of seed",Chinese Mustard- Lime Streaks_Brassica japonica/Chinese Mustard- Lime Streaks_Brassica japonica_1.jpg; Chinese Mustard- Lime Streaks_Brassica japonica/Chinese Mustard- Lime Streaks_Brassica japonica_2.jpg,"January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December","January, February, March, April, May, June, July, August, September, October, November, December"
