plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Artichoke- Green Globe,Cynara scolymus,vegetable,Perennial vegetable; Standard variety; Globe artichoke,300-400 days,150cm,10mm,"Full sun, moist soil",Spring or after frost,14-21 days @ 21-26°C,Sow direct or raise seedlings,Hardy Perennial,Best flavour of the common thyme varieties,"**Purple Asparagus**, a long-lived deciduous perennial, can produce edible spears for 20 years or more when left undisturbed in the garden. Spears begin to emerge in spring, followed by delicate green fern-like foliage that will turn yellow and die down in autumn. This heirloom variety is rust-resistant and produces strong straight spears with a rounded tip that are best harvested when young.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Artichoke- Green Globe_Cynara scolymus/Artichoke- Green Globe_Cynara scolymus_1.jpg; Artichoke- Green Globe_Cynara scolymus/Artichoke- Green Globe_Cynara scolymus_2.jpg; Artichoke- Green Globe_Cynara scolymus/Artichoke- Green Globe_Cynara scolymus_3.jpg; Artichoke- Green Globe_Cynara scolymus/Artichoke- Green Globe_Cynara scolymus_4.jpg,"September, October, November","January, February, March, August, September, October, November, December","January, February, March, April, August, September, October, November, December","March, April, May, June, July, August","January, February, March, April, August, September, October, November, December"
Asparagus- Argenteuil,Asparagus officinalis,vegetable,Perennial vegetable 150cm; French Heirloom; Large fast growing spears,730 days (2 years),30cm,10mm,"Part or full sun, moist soil",Spring,14-21 days @ 23-27°C,Sow direct or raise seedlings,Frost Hardy Perennial,Large fast growing spears; Best flavour of the common thyme varieties,"Asparagus 'Mary Washington' is an heirloom variety that produces edible spears for 20 years or more when left undisturbed in the garden. Spears begin to emerge in spring, followed by delicate green fern-like foliage which will turn yellow and die down in autumn. This variety exhibits typical variability of an F2 generation, including a moderate tolerance to rust and fusarium root rot.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Asparagus- Argenteuil_Asparagus officinalis/Asparagus- Argenteuil_Asparagus officinalis_1.jpg; Asparagus- Argenteuil_Asparagus officinalis/Asparagus- Argenteuil_Asparagus officinalis_2.jpg,"September, October, November","August, September, October, November","August, September, October, November","March, April, May, June, July, August, September, October","September, October, November"
Asparagus- Mary Washington,Asparagus officinalis,vegetable,Perennial vegetable 150cm; Long straight spears; Popular variety,1095 days (3 years),30cm,10mm,"Part or full sun, moist soil",Spring,14-21 days @ 23-27°C,Sow direct or raise seedlings,Frost Hardy Perennial,,"**Australian Thistle**, a perennial growing to 180cm, has silver/grey/green leaves and large green flower heads that are eaten as a gourmet vegetable. Large hearts can be harvested from the plant, which can also be grown as an ornamental. The flowers can be dried and used in arrangements, making it a popular choice for gardeners.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Asparagus- Mary Washington_Asparagus officinalis/Asparagus- Mary Washington_Asparagus officinalis_1.jpg; Asparagus- Mary Washington_Asparagus officinalis/Asparagus- Mary Washington_Asparagus officinalis_2.jpg; Asparagus- Mary Washington_Asparagus officinalis/Asparagus- Mary Washington_Asparagus officinalis_3.jpg; Asparagus- Mary Washington_Asparagus officinalis/Asparagus- Mary Washington_Asparagus officinalis_4.jpg,"September, October, November","August, September, October, November","August, September, October, November","March, April, May, June, July, August, September, October","September, October, November"
Asparagus- Mary Washington (Crown),Asparagus officinalus,vegetable,Crown will establish quickly; Long lived perennial; Rust-resistant heirloom variety,365 days,35cm,5cm,"Full sun, rich well drained soil",Winter and spring,,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Hardy Perennial,Rust-resistant heirloom variety; Delicate flavour; Very tender with exceptional flavour; Tender flesh,"**Kohlrabi**, a perennial vegetable growing to 150cm, is a long thick tender green spear with purple tips and excellent flavour. It can be blanched white and has early maturing, allowing it to be picked from the second year (a year earlier than most other varieties). This Old French Heirloom variety is a popular choice among gardeners.",Culinary use,,Asparagus- Mary Washington Crown_Asparagus officinalus/Asparagus- Mary Washington Crown_Asparagus officinalus_1.jpg; Asparagus- Mary Washington Crown_Asparagus officinalus/Asparagus- Mary Washington Crown_Asparagus officinalus_2.jpg; Asparagus- Mary Washington Crown_Asparagus officinalus/Asparagus- Mary Washington Crown_Asparagus officinalus_3.jpg,"June, July, August, September, October","June, July, August, September, October","July, August, September, October","May, June, July","June, July, August"
Asparagus- Purple (Crown),Asparagus officinalus,vegetable,Tender purple spears; Long lived perennial; High in antioxidants,365 days,35cm,5cm,"Full sun, rich well drained soil",Winter and spring,,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Hardy Perennial,Tender purple spears; Delicate flavour; Very tender with exceptional flavour,"**Baby Beet**, very attractive beets with pink/red and white alternating rings, have an extra sweet flavour that looks great in salads. They are good for boiling, pickling, and baking, making them a versatile addition to any meal. Sometimes called ""Candystripe beet"", this variety is perfect for dual-purpose use.",Culinary use,,Asparagus- Purple Crown_Asparagus officinalus/Asparagus- Purple Crown_Asparagus officinalus_1.jpg; Asparagus- Purple Crown_Asparagus officinalus/Asparagus- Purple Crown_Asparagus officinalus_2.jpg; Asparagus- Purple Crown_Asparagus officinalus/Asparagus- Purple Crown_Asparagus officinalus_3.jpg; Asparagus- Purple Crown_Asparagus officinalus/Asparagus- Purple Crown_Asparagus officinalus_4.jpg,"June, July, August, September, October","June, July, August, September, October","July, August, September, October","May, June, July","June, July, August"
Asparagus- UC 157 F2,Asparagus officinalis,vegetable,Perennial vegetable; Three to five dark green spears per plant; Popular fresh market variety,1095 days (3 years),30cm,10mm,"Full sun to part sun, moist well-drained soil",Spring,14-21 days @ 23-27°C,Asparagus- UC 157 F2 seeds can be sown directly into the garden OR seedlings can be raised in trays or other containers and transplanted to the garden once established,Hardy once established Perennial,Refreshing flavour; Delicate flavour; Very tender with exceptional flavour,"This perennial vegetable producing three to five dark green spears can be harvested from each mature plant. Spears are 1.5-2cm in diameter, uniform in colour and size, naturally sweet, and full-flavoured. Exhibiting typical variability of an F2 generation, this variety includes a moderate tolerance to rust and fusarium root rot.",Culinary use,,Asparagus- UC 157 F2_Asparagus officinalis/Asparagus- UC 157 F2_Asparagus officinalis_1.jpg; Asparagus- UC 157 F2_Asparagus officinalis/Asparagus- UC 157 F2_Asparagus officinalis_2.jpg,"September, October, November","August, September, October, November","August, September, October, November","March, April, May, June, July, August, September, October","September, October, November"
Banana Shallot- Golden (Bulb),Allium ascalonicum,vegetable,"Large, easy to peel bulbs; Versatile mild onion flavour; One bulb produces 5-12 shallots",120 days,20cm,5cm,"Full sun, well drained soil","Autumn and winter in warm climates, winter and spring in cool climates",,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Hardy Perennial (usually grown as an annual),Versatile mild onion flavour; Mild flavour,"**Banana Shallot**, also known as French Echalions, is a cross between an onion and a shallot. The elongated bulbs with pointed ends are the largest of any shallot, with a smooth skin that's easy to peel. The firm white flesh has a milder and more subtle taste than onion and can be used raw or cooked in sauces, meat dishes, and soups.",Culinary use,,Banana Shallot- Golden Bulb_Allium ascalonicum/Banana Shallot- Golden Bulb_Allium ascalonicum_1.jpg; Banana Shallot- Golden Bulb_Allium ascalonicum/Banana Shallot- Golden Bulb_Allium ascalonicum_2.jpg; Banana Shallot- Golden Bulb_Allium ascalonicum/Banana Shallot- Golden Bulb_Allium ascalonicum_3.jpg; Banana Shallot- Golden Bulb_Allium ascalonicum/Banana Shallot- Golden Bulb_Allium ascalonicum_4.jpg,"July, August, September","April, May, July, August","April, May, June, July","March, April, May, June, July","March, April, May"
Banana Shallot- Red (Bulb),Allium ascalonicum,vegetable,"Large, easy to peel bulbs; Versatile mild onion flavour; One bulb produces 5-12 shallots",120 days,20cm,5cm,"Full sun, well drained soil","Autumn and winter in warm climates, winter and spring in cool climates",,**Sow direct:** This means that the seeds are best sown directly into the garden,Frost Hardy Perennial (usually grown as an annual),Versatile mild onion flavour,"**Purple Shallot**, also known as French Echalions, is a cross between an onion and a shallot. The elongated bulbs with pointed ends are the largest of any shallot, with a smooth skin that's easy to peel. The firm purple tinged flesh has a milder and more subtle taste than onion and can be used raw or cooked in sauces, meat dishes, and soups.",Culinary use,,Banana Shallot- Red Bulb_Allium ascalonicum/Banana Shallot- Red Bulb_Allium ascalonicum_1.jpg; Banana Shallot- Red Bulb_Allium ascalonicum/Banana Shallot- Red Bulb_Allium ascalonicum_2.jpg; Banana Shallot- Red Bulb_Allium ascalonicum/Banana Shallot- Red Bulb_Allium ascalonicum_3.jpg; Banana Shallot- Red Bulb_Allium ascalonicum/Banana Shallot- Red Bulb_Allium ascalonicum_4.jpg,"July, August, September","April, May, July, August","April, May, June, July","March, April, May, June, July","March, April, May"
Beetroot- Bulls Blood,Beta vulgaris,vegetable,Great for baby leaf & microgreens; Attractive dark purple tops,55 days (35 days for baby leaf),10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet flavour,"**Red Malabar Spinach**, a perennial variety grown as a baby leaf and microgreen, produces dark purple/red leaves that are ready in around 35 days. They look amazing in salads and have a delicious sweet flavour. The roots mature at around 55 days, making it a great dual-purpose heirloom variety.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- Bulls Blood_Beta vulgaris/Beetroot- Bulls Blood_Beta vulgaris_1.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
Beetroot- Chioggia,Beta vulgaris,vegetable,"Candy stripe beet; Red/pink and white alternating rings; Includes: Alice Springs, Mildura, Albury-Wodonga, Shepparton, Wagga Wagga, Dubbo",60-65 days,10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet flavour,". **Purple Asparagus**, a long-lived deciduous perennial, can produce edible spears for 20 years or more when left undisturbed in the garden. Spears begin to emerge in spring, followed by delicate green fern-like foliage that will turn yellow and die down in autumn. This heirloom variety is rust-resistant and produces strong straight spears with a rounded tip that are best harvested when young.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- Chioggia_Beta vulgaris/Beetroot- Chioggia_Beta vulgaris_1.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
Beetroot- Detroit,Beta vulgaris,vegetable,Globe shaped roots up to 7cm; Good variety for baby leaf and microgreens; Very popular variety,60 days (30 days for baby leaves),10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet flavour,"**Detroit Dark Red** is a popular variety for growing roots, baby leaves, and microgreens. Its dark red, globe-shaped roots can grow up to 7cm in diameter, with excellent flavor. The green tops feature tinges of dark red and are resistant to downy mildew.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- Detroit_Beta vulgaris/Beetroot- Detroit_Beta vulgaris_1.jpg; Beetroot- Detroit_Beta vulgaris/Beetroot- Detroit_Beta vulgaris_2.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
Beetroot- Early Wonder,Beta vulgaris,vegetable,Flattened globe shaped roots up to 10cm; Leaves good as a salad green; Good summer variety,55 days,10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet flavour,"Deep red, flattened globe-shaped roots of **Detroit Dark Red** variety can reach up to 10cm in length. This variety boasts attractive tall glossy leaves, making it an ideal choice for salad greens.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- Early Wonder_Beta vulgaris/Beetroot- Early Wonder_Beta vulgaris_1.jpg; Beetroot- Early Wonder_Beta vulgaris/Beetroot- Early Wonder_Beta vulgaris_2.jpg; Beetroot- Early Wonder_Beta vulgaris/Beetroot- Early Wonder_Beta vulgaris_3.jpg; Beetroot- Early Wonder_Beta vulgaris/Beetroot- Early Wonder_Beta vulgaris_4.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
Beetroot- Golden Detroit,Beta vulgaris,vegetable,Golden orange/yellow flesh; Sweet flavour,55 days,10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet flavour; Strong lemon flavour,"**Golden Beet** is a popular Heirloom variety used for both roots and greens. Its orange-red skin has a golden yellow/orange interior with an excellent sweet flavor. Unlike red beetroots, **Golden Beet** does not 'bleed' when cut. The green leaves and yellow stems can be eaten young as a salad green or cooked when mature.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- Golden Detroit_Beta vulgaris/Beetroot- Golden Detroit_Beta vulgaris_1.jpg; Beetroot- Golden Detroit_Beta vulgaris/Beetroot- Golden Detroit_Beta vulgaris_2.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
Beetroot- Golden Globe,Beta vulgaris,vegetable,Yellow flesh with orange skin; Non-bleeding variety; Green leaves with yellow stalks,40-60 days,10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet flavour,"**Golden Beet** produces spherical roots with orange skin and bright golden flesh. Harvest early for sweet baby beets or leave to mature for an earthier flavor. Unlike red beetroots, it doesn't 'bleed' when cut. The green leaves and yellow stems add color and flavor to salads when young, or can be cooked when mature.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- Golden Globe_Beta vulgaris/Beetroot- Golden Globe_Beta vulgaris_1.jpg; Beetroot- Golden Globe_Beta vulgaris/Beetroot- Golden Globe_Beta vulgaris_2.jpg; Beetroot- Golden Globe_Beta vulgaris/Beetroot- Golden Globe_Beta vulgaris_3.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
Beetroot- Red Devil,Beta vulgaris,vegetable,Grown for leaves; Excellent for baby-leaf or salad mix,35 days,10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Excellent for baby-leaf or salad mix; Excellent flavour; Sweet flavour,"**Red Russian Kale** is grown for its striking leaves rather than its root. Its long, dark vivid red leaves with red stems are ready for harvest in about 30 days. Perfect for adding a pop of color to salads or cooking, they have a delicious sweet flavor.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- Red Devil_Beta vulgaris/Beetroot- Red Devil_Beta vulgaris_1.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
Beetroot- White,Beta vulgaris,vegetable,"White skin with white flesh; Sweet flavour; Includes: Alice Springs, Mildura, Albury-Wodonga, Shepparton, Wagga Wagga, Dubbo",60 days,10cm,15mm,"Full sun, moist well drained soil","Spring, summer and autumn",5-10 days @ 10-30°C,**Sow direct:** This means that the seeds are best sown directly into the garden,Hardy Biennial (usually grown as an annual),Sweet flavour,"**White Beet** boasts white skin and flesh, offering a sweet flavor without changing the color of other vegetables when cooked together like red beets. It's ideal for boiling, pickling, and baking.",Container growing,"Open pollinated, untreated, non-GMO variety of seed",Beetroot- White_Beta vulgaris/Beetroot- White_Beta vulgaris_1.jpg,"January, February, March, April, September, October, November, December","January, February, March, April, July, August, September, October, November, December","February, March, April, May, June, July, August, September, October","March, April, May, June","February, March, April, May, June, July, August, September, October"
